unidade;data;texto
5àsec Vicente Rao;24/01/19 14:53;Q4 : Melhorar o valores cobrados, principalmente para cliente assíduos e regulares.
5àsec Vila Beatriz;24/01/19 14:52;Q2 : Muito bom
5àsec Bela Vista Consolacao;24/01/19 14:48;
5àsec Planalto Paulista;24/01/19 11:13;Q2 : Porque o serviço é bem feito e o atendimento das funcionárias é ótimo: diligentes e simpáticas  | Q4 : Não tem nenhuma sugestão por ora
5àsec Cambuci;24/01/19 09:33;Q2 : Bom atendimento e serviço executado com perfeição. | Q4 : Manter o nível de excelência
5àsec Pio Xi;24/01/19 01:36;
5àsec Wal Mart Pacaembu;23/01/19 21:58;Q2 : Atendimento e qualidade
5àsec Vila Mariana;23/01/19 21:52;Q2 : Falta cuidado na lavagem de peças delicadas. Não foi comunicado o estrago na roupa. | Q4 : Ninguém está livre de cometer algum erro na lavagem, eu só exigo que seja comunicado e ressarcido, sem a necessidade do cliente verificar no momento em que vai usar a peça.
5àsec Interlagos Autodromo;23/01/19 20:14;
5àsec Shopping Boulevard Tatuapé;23/01/19 20:07;
5àsec Vila Romana;23/01/19 19:44;Q2 : O serviço foi perfeito  | Q4 : Continuar como está
5àsec Oscar Freire;23/01/19 19:30;
5àsec Extra Raposo Tavares;23/01/19 18:38;Q2 : Qualidade no atendimento e nos serviços prestados, flexibilidade do proprietário.
5àsec Interlagos Autodromo;23/01/19 17:50;
5àsec Casa Verde;23/01/19 17:47;
5àsec Alphaville Posto Ipiranga;23/01/19 17:46;Q2 : Atendimento.
5àsec Oscar Freire;23/01/19 17:27;
5àsec Perdizes;23/01/19 17:10;Q2 : Trabalha  bem.
5àsec Extra Raposo Tavares;23/01/19 16:29;Q2 : Excelência de serviço
5àsec Extra Raposo Tavares;23/01/19 16:09;
5àsec Oscar Freire;23/01/19 15:52;
5àsec Shopping Plaza Sul;23/01/19 15:51;Q2 : Atendimento e serviços sempre excelentes | Q4 : Esta tudo ok. A recepcionista é exepcional. Sempre gentil e muito atenciosa. Parabéns!
5àsec Carrefour Aricanduva;23/01/19 15:30;Q2 : Qualidade na limpeza. Tiraram as manchas que estava na capa do colchão e no edredom também. Estavam cheirosos. Gostei muito do atendimento ao cliente.  | Q4 : O preço
5àsec Planalto Paulista;23/01/19 15:05;Q2 : O preço é mais alto que outras lavanderias. É nestas últimas o atendimento está péssimo...atendente mal humorada e grosseira. | Q4 : Os preços e principalmente o atendimento. Pelo valor que se paga deveria ser dado outro nível de atendimento.
5àsec Mergenthaler;23/01/19 15:04;
5àsec Carrefour Vila Maria;23/01/19 15:01;Q2 : O serviço não ficou nada bom.
5àsec Extra Raposo Tavares;23/01/19 14:59;Q2 : Excelente lavanderia
5àsec Shopping Iguatemi Alphaville;23/01/19 14:55;Q2 : Bom serviços e atendimento, porém com preço um pouco alto
5àsec Oscar Freire;23/01/19 14:49;
5àsec Carrefour Pirituba;23/01/19 14:30;Q2 : otimo atendimento e pontualidade na entrega das peças. | Q4 : manter opadrão como vem sendo feito até agora
5àsec Guarulhos Tiradentes;23/01/19 12:21;Q4 : nem lembro quando foi que deixei lá meus ternos, mas até hoje não entregaram uma calça que ficou por lá e já marcaram 3 vezes a entrega e não foram, isso atrapalha a agenda da minha esposa, mas foi a unica vez que aconteceu, entendo como um lapso e não uma rotina. no aguardo da minha calça até hoje 23-01-2019
5àsec Alphaville Bradesco Seguros;23/01/19 11:47;"Q2 : A Samira super atenciosa e dedicada
 | Q4 : Nada"
5àsec Ministro Rocha Azevedo;23/01/19 02:04;Q2 : Excelente atendimento e qualidade na lavagem das roupas | Q4 : Tudo perfeito.
5àsec Lapa Albion;23/01/19 01:19;Q2 : Qualidade excellent  | Q4 : Esta Tudo otimo
5àsec Shopping Plaza Sul;23/01/19 00:01;
5àsec Shopping Market Place;22/01/19 23:46;Q2 : Todas as peças brancas de cama e de banho, vieram sem exceção, manchadas, pois não foram devidamente lavadas. Estou totalmente insatisfeita. Na utilização anterior, meu vestido de festa, foi entregue também manchado (parecia que não foi bem enxaguado). Não reclamei.  Porém, agora, são peças brancas e básicas que vieram absurdamente “beges”, ao invés de brancas.   | Q4 : Cumprir com o objetivo de uma lavanderia. Que deve ser, pelo menos, entregar as pecas devidamente limpas.
5àsec Planalto Paulista;22/01/19 23:20;Q2 : Serviço excelente, agil e preço justo
5àsec Panamby;22/01/19 23:20;Q4 : Custo e promoção
5àsec Guarulhos Timoteo Penteado;22/01/19 22:40;
5àsec Mooca;22/01/19 22:13;Q2 : Gostei mto | Q4 : Está tdo bem
5àsec Mooca;22/01/19 21:59;Q2 : Atendimento muito bom | Q4 : Melhores preços
5àsec Guarulhos Timoteo Penteado;22/01/19 21:06;Q2 : Entrega no prazo
5àsec Panamby;22/01/19 21:04;
5àsec Oscar Freire;22/01/19 21:03;Q2 : Tive um problema sério com o ar condicionado que poderia ter causado óbito em duas pessoas, fiquei em 3 quartos diferentes pois todos deram problemas com o ar e pra finalizar no momento de encerrar a conta o atende se quer separou as notas, jogou-as no balcão e disse: separa o que é seu.
5àsec Tremembe;22/01/19 20:54;
5àsec Shopping Boulevard Tatuapé;22/01/19 20:54;Q2 : Deixei minha roupa e não conseguiram localizar depois!!! | Q4 : Organização
5àsec Pao De Açucar 1 De Janeiro;22/01/19 20:32;Q2 : Não gostei do atendimento sempre vou na mesma e sou atendida por uma moça super simpática mas a última vez era outra e bem antipatica | Q4 : Troque a funcionária acho que o nome dela era Diana não lembro mas ela fica durante a semana, fui na hora do almoco
5àsec Alfonso Bovero;22/01/19 20:27;Q2 : Pq gostei do resultado
5àsec Vila Nova Conceição II;22/01/19 20:21;
5àsec Avenida Atlantica;22/01/19 20:14;Q2 : Atendimento de  excelente qualidade, atendentes muito educadas tanto por contato telefônico quanto pessoalmente. O serviço é ótimo, sempre fico satisfeita com minhas roupas e quando se trata dos meus edredons eles ficam cheirosos, embalados e limpinhos para o próximo período de frio.  | Q4 : Desconto
5àsec Vila Guilherme;22/01/19 20:11;
5àsec Shopping Boulevard Tatuapé;22/01/19 19:51;"Q2 : Deixei um casaco para lavar e simplesmente me ligaram dizendo que o casaco foi rasgado na lavagem. Depois de 1 semana cobrando respostas me depositaram o valor ""equivalente"" ao preço do casaco que rasgaram e eu nem pude ver como a peça havia ficado... | Q4 : Depois do ocorrido pelo menos deveriam me devolver a peça danificada que era minha..."
5àsec Moema Lavandisca;22/01/19 19:40;Q2 : Não gostei do serviço.
5àsec Vila Mariana;22/01/19 19:25;
5àsec Alfonso Bovero;22/01/19 18:45;Q2 : Fica bem limpo e passado
5àsec Shopping Center Norte;22/01/19 17:55;Q2 : Perderam minha blusa e até agora não resolveram meu problema e também já rasgaram minha blusa. | Q4 : Tudo
5àsec Carrefour Pirituba;22/01/19 17:48;Q2 : Ótimo atendimento e prontidão  | Q4 : Está de acordo ao que eu espero!
5àsec Pinheiros;22/01/19 17:41;Q2 : Ótima  | Q4 : Tudo perfeito
5àsec Marechal Barbacena;22/01/19 17:37;Q2 : ótimo atendimento e serviço
5àsec Shopping Analia Franco;22/01/19 17:12;
5àsec Jardim Marajoara 2 Posto Shell;22/01/19 16:54;Q2 : Aguirre
5àsec Pio Xi;22/01/19 16:48;
5àsec Moema Lavandisca;22/01/19 16:46;Q4 : Na maioria das  vezes que usei a lavanderia sempre a roupa vem com sinto muito as  manchas não sairam | Q2 : A roupa nao voltou como eu desejaria.
5àsec Paraiso;22/01/19 16:44;Q2 : Bom  | Q4 : Ótimo
5àsec Planalto Paulista;22/01/19 16:30;
5àsec Wal Mart Osasco;22/01/19 15:54;"Q4 : Eu fiquei 2 anos sem levar roupas naquela loja. Pois tive uma experiencia horrível, me devolveram uma calça rasgada. E fui obrigado a ouvir: ""vc trouxe uma calça rasgada para lavar e não viu""!?!?!? Sem comentários....postura perfeita da funcionaria. Infelizmente, por falta de opção e correria, levei novamente nessa loja."
5àsec Carrefour Pirituba;22/01/19 15:53;Q2 : Facilidade
5àsec Interlagos Sonda;22/01/19 15:48;Q2 : Prestaram um ótimo atendimento.
5àsec Vila Mariana;22/01/19 15:37;
5àsec Panamby;22/01/19 15:33;
5àsec Alphaville Bradesco Seguros;22/01/19 15:03;Q2 : atendimento e qualidade  | Q4 : preço mais acessível.
5àsec Shopping Eldorado;22/01/19 14:53;Q2 : Qualidade do serviço é excepcional mas a data de entrega estipulada no ato do pagamento não foi respeitada! A entrega atrasou! | Q4 : Melhorar o lay out da loja.
5àsec Higienopolis;22/01/19 14:51;Q2 : Por que a loja sempre entrega as roupas impecavelmente limpas e passadas. É o que basta!
5àsec Avenida Atlantica;22/01/19 14:51;Q2 : Ótimo atendimento, rapidez e qualidade do serviço prestado
5àsec Brooklin;22/01/19 14:46;Q2 : Camisa manchada | Q4 : Revisão da gestão!!
5àsec Paes De Barros;22/01/19 14:44;Q2 : Conjunto de atenção. Limpeza atendimento e agilidade
5àsec Berrini;22/01/19 14:43;Q2 : Sempre deixo um e pego outro blaser.Deram baixa no meu blaser como se eu tivesse pego.Quando realmente fui busca-lo a moça afirmou que eu ja tinha retirado!E ficou eu dizendo que nao, ela dizendo que sim.Até que outra moça moça explicou para o ocorrido.Entao ela falou:'Verdade .É que faz tanto tempo'.Achei que foi ironica pelo falo deu ter demorado para ir buscar o blaser! | Q4 : Nao irei.Grato.
5àsec Brooklin;22/01/19 14:43;Q2 : As duas últimas entregas não foram realizadas. Fiquei sem ternos e sem camisa para trabalhar
5àsec Interlagos Sonda;22/01/19 14:33;
5àsec Vicente Rao;22/01/19 14:33;Q2 : Excelente atendimento
5àsec Faria Lima;22/01/19 14:28;Q2 : A qualidade do atendimento melhorou muito na unidade que me atende, assim como os serviços. | Q4 : Embalagem para acondicionar os ternos
5àsec Metro Conceiçao;22/01/19 14:26;Q2 : atendimento atencioso e cumprimento do. prazi com qualidade | Q4 : nada
5àsec Mooca;22/01/19 14:25;Q2 : Serviço bem feito  | Q4 : Preço!!!!! Kkkkkk
5àsec Alphaville Bradesco Seguros;22/01/19 14:24;
5àsec Santa Cruz;22/01/19 14:23;Q2 : Atendimento
5àsec Oscar Freire;22/01/19 14:23;
5àsec Paraiso;22/01/19 14:21;Q2 : b om serviço e bom atendimento | Q4 : as vezes só tem uma pessoa para atender e os clientes ficam esperando muito tempo
5àsec Vila Funchal;22/01/19 14:20;Q2 : Servico muito bem feito
5àsec Vitoria Da Conquista;22/01/19 14:20;Q2 : O atendimento foi ótimo. A atendente me explicou muito bem o que iria acontecer com o objeto que levei para lavar.
5àsec Pao De Açucar 1 De Janeiro;22/01/19 14:19;Q2 : Atendimento
5àsec Penha;22/01/19 14:18;Q2 : Ótimo atendimento
5àsec Rua Da Mooca;22/01/19 14:14;Q4 : Faltou o café kkkkk
5àsec Braz Leme;22/01/19 14:08;Q2 : Pela qualidade e atendimento  | Q4 : Lembrar q existe programa de fidelização q da desconto e sobre os cabides para serem reciclados
5àsec Mooca;22/01/19 13:42;Q2 : Atendentes atenciosas e educadas.  Lavagem dos cobertores excelente.
5àsec Vila Romana;22/01/19 13:40;Q2 : qualidade do serviço e do atendimento
5àsec Vila Beatriz;22/01/19 11:25;Q2 : é uma boa lavanderia | Q4 : diminuir o pra zo da entrega
5àsec George V Alto De Pinheiros;22/01/19 03:33;Q2 : Boa mas cara! | Q4 : Baixar o preço
5àsec Mergenthaler;22/01/19 00:34;Q2 : Já duas vezes que vou na data marcada e a roupa aiN da não veio da loja Pio Xx. | Q4 : Entrega no dia marcado.sei que a culpa de atraso é da Pio XX.funcionaria atenciosa mergenthaler Solange.pouco funcionários na Metgenthaler(2) só
5àsec Pastorinho;22/01/19 00:03;Q2 : O atendimento é muito bom e as roupas realmente vem limpas. Os preços  acho um pouco fora,mas, tem um bom serviço.
5àsec Tremembe;21/01/19 23:53;Q2 : Pq a qualidade é boa  | Q4 : Nada. Mas o atendimento do balcão merece 1.000 elogios. As moças são nota 1.0000
5àsec Jardim Paulista;21/01/19 23:52;
5àsec Portal Do Morumbi;21/01/19 23:28;
5àsec Tremembe;21/01/19 23:19;Q2 : São sempre gentis e comprometidos com o serviço.
5àsec Vila Nova Concei?Ao I;21/01/19 22:34;Q2 : Não foi possível tirar todas as manchas do casaco
5àsec Vila Mariana Klabin;21/01/19 21:17;Q2 : Agilidade, simpatia, estacionamento
5àsec Jardim Aeroporto;21/01/19 20:31;Q2 : Atendimento atencioso e entrega do serviço conforme combinado.
5àsec Rua Da Mooca;21/01/19 19:28;
5àsec Extra Raposo Tavares;21/01/19 19:20;Q2 : Porque falta um trabalho de fidelidade do cliente.  | Q4 : Melhorar os preços estão muito alto
5àsec Brooklin;21/01/19 18:30;Q4 : Preço e mais benefícios para fidelidade.
5àsec Vila Guilherme;21/01/19 17:32;Q2 : FUI MUITO BEM ATENDIDA! | Q4 : OS EDREDONS FORAM LAVADOS MAS EM DETERMINADOS PONTOS AINDA SENTÍ O CHEIRO DE GUARDADO E DE PÓ DE GUARDA-ROUPA E EM OUTROS O CHEIRO PRÓPRIO DO AMACIANTE QUE VOCÊS UTILIZAM, DEPOIS COMPARECEREI PESSOALMENTE PARA TIRAR ALGUMAS DÚVIDAS COM VOCÊS E AGRADEÇO POR TUDO!
5àsec Jardim Marajoara 2 Posto Shell;21/01/19 16:09;Q2 : Atendimento
5àsec Analia Franco;21/01/19 16:08;"Q2 : Muito bem atendido
 | Q4 : As meninas poderiam esta com um uniforme mais sex"
5àsec Shopping Iguatemi Alphaville;21/01/19 15:34;Q2 : Uma das peças não foi lavada, me ligaram, eu autorizei, e na sequência me ligaram solicitando autorização por escrito.
5àsec Shopping Jardim Sul;21/01/19 15:15;Q4 : Menos tempo na lavagem
5àsec Brooklin;21/01/19 15:06;Q2 : ATENDIMENTO NOTA 10
5àsec Metro Conceiçao;21/01/19 14:55;Q2 : O sistema de retirada e entrega é muito bom, e geralmente a loja tira manchas de produtos que eu não consigo. | Q4 : Está tudo ótimo. Obrigada
5àsec Oscar Freire;21/01/19 14:33;Q2 : P
5àsec Vila Mariana Klabin;21/01/19 14:12;Q2 : Estou avaliando a melhora na qualidade. Sinto uma melhora, mas quero ver quão sustentável é.
5àsec Guarulhos Parque Shopping Maia;21/01/19 14:08;Q2 : Passo
5àsec Jardim Marajoara 2 Posto Shell;21/01/19 14:00;
5àsec Vila Mascote;21/01/19 13:45;Q4 : Diminuir o preço.
5àsec Vila Nova Concei?Ao I;21/01/19 12:10;Q2 : Não teve uma vez que minhas camisas não voltaram com o colarinho mal passado ou com o mesmo sujo que foi. | Q4 : Não volto mais nessa unidade!
5àsec Alphaville Bradesco Seguros;21/01/19 12:08;
5àsec Av. Santa Ines;21/01/19 12:04;Q2 : Atendente muito atenciosa e simpatica, prestativa na atenção quanto aos cuidados da roupa q levei. | Q4 : Um contato via WhastApp, hoje em dia ajuda muito.
5àsec Vila Guilherme;21/01/19 11:25;
5àsec Vila Mariana Klabin;21/01/19 11:22;
5àsec Vila Guilherme;21/01/19 01:58;Q2 : 10 | Q4 : Tudo perfeito
5àsec Shopping Center Norte;21/01/19 00:21;Q2 : Pequeno atraso.
5àsec Mooca;21/01/19 00:07;
5àsec Pedroso Alvarenga;20/01/19 23:34;Q2 : Recebi outras roupas que não as minhas | Q4 : Aspecto visual da loja e prazo de entrega
5àsec Vila Romana;20/01/19 23:27;Q4 : Ficou caro...mais de 10 reais por peça...com esse preço melhor contratar uma diarista
5àsec Carrefour Vila Maria;20/01/19 23:23;Q2 : Atendimento
5àsec Shopping Iguatemi Alphaville;20/01/19 23:02;
5àsec Faria Lima;20/01/19 22:38;Q2 : Fui bem atendida e o trabalho foi feita com muito  capricho  | Q4 : Tudo otimo
5àsec Ibirapuera;20/01/19 19:42;
5àsec Loefgreen;20/01/19 18:34;Q2 : De umas semanas para cá a loja não tem liberado todas as peças no ato da retirada. Alem disso, não ofereceram mais para entregar. Deixo somente 2 ou 3 camisas por vez e mesmo assim, agora tem ficado uma peça pendente. | Q4 : Entregar em casa e não demorar mais que 2 dias para liberar as peças.
5àsec Rua Da Mooca;20/01/19 17:51;
5àsec Moema Passaros;20/01/19 17:43;Q2 : nao recebi ainda o meu casaco esta faltando...ainda procurando  espero que acham | Q4 : nao acharam o meu casaco estou esperando....
5àsec Vicente Rao;20/01/19 17:22;Q2 : estao ficando exigindos agente cliente nunca exigimos nada | Q4 : colocar mais motorista pra entregar
5àsec Moema Lavandisca;20/01/19 17:12;Q2 : Foi tudo certo
5àsec Freguesia Do O;20/01/19 16:57;Q2 : A Lavanderia é muito boa e organizada, diferentemente de outras Unidades que conheci. As funcionárias são cordiais e atendem muito bem. Recomendo!
5àsec Oscar Freire;20/01/19 16:33;Q2 : Não indico para amigos pelo preço. Mas ontem teve um adicional: estou acostumado a um atendimento excelente nessa unidade, mas a pessoa que me atendeu não foi simpática. Citou uma taxa de entrega que nunca paguei e depois ela disse que eu não precisava pagar porque tenho pacote adquirido. Não é nada, apenas a abordagem que foi infeliz quando comparado ao padrão dessa unidade. | Q4 : Atendimento.
5àsec Vila Funchal Cardoso De Melo;20/01/19 15:59;
5àsec Mooca;20/01/19 15:58;Q2 : Não atribui o 10, pois gostaria dos edredons mais cheirosinhos.
5àsec Carrefour Vila Maria;20/01/19 15:10;Q2 : Deixei um tapete para lavagem que deveria ser entregue no dia 10-01, o tapete somente foi entregue no dia 17-01 após eu ir na loja no dia anterior cobrar a entrega e ninguém sabia onde estava o tapete e porque não foi entregue só me falavam que estava atrasado. E no dia da entrega liguei ela falou que não seria entregue naquele dia e no mesmo momento fui avisada que o tapete havia sido entregue na portaria. Total descontrole dos pedidos e entrega. | Q4 : Controle via sistema das entregas e funcionários aptos a atender o público com informações corretas
5àsec Pao De Açucar 1 De Janeiro;20/01/19 15:05;Q2 : Ficaram ótimas as roupas
5àsec Regente Feijo;20/01/19 15:02;Q2 : Sou muito bem atendido pela regente Feijó | Q4 : Continuem assim
5àsec Ermano Marchetti;20/01/19 14:51;Q2 : Atendimento maravilhoso!
5àsec Pinheiros;20/01/19 14:50;
5àsec Shopping Plaza Sul;20/01/19 14:49;Q2 : Estragaram minha bolsa caríssima, estou aguardando orientação do meu advogado  | Q4 : Tudo.
5àsec Alameda Santos;20/01/19 14:45;Q2 : Lavou sem manchar uma roupa de duas cores que tinha grande chance de manchar  | Q4 : Achei caro
5àsec Pedroso Alvarenga;20/01/19 14:44;Q2 : Deu tudo certo  | Q4 : Abaixar o preço
5àsec Faria Lima;20/01/19 14:43;Q2 : Atendimento rapido
5àsec Interlagos Autodromo;20/01/19 14:16;
5àsec Umuarama;20/01/19 13:39;Q2 : Qualidade
5àsec Shopping Market Place;20/01/19 03:45;
5àsec Shopping Penha;20/01/19 02:51;Q2 : Atendimento
5àsec Cambuci;19/01/19 22:43;Q2 : Excelente tratamento e seriedade nos serviços | Q4 : Continuar como está.
5àsec Pio Xi;19/01/19 22:08;Q2 : A camisa encolheu | Q4 : Garantir que a camisa não encolheria
5àsec Shopping Market Place;19/01/19 21:49;Q2 : Foi rápido
5àsec Vila Mascote;19/01/19 21:47;
5àsec Cursino;19/01/19 20:49;Q2 : Atendimento
5àsec Cursino;19/01/19 20:27;Q2 : Excelente atendimento
5àsec Nestor Pestana;19/01/19 19:11;Q2 : Agilidade
5àsec Interlagos Autodromo;19/01/19 18:35;Q2 : Muita falta de atenção
5àsec Tatuape;19/01/19 18:27;Q2 : Muito caro valor superior a todos no segmento  | Q4 : Valor e agilidade
5àsec Shopping Jardim Sul;19/01/19 18:26;Q2 : Muito bom! | Q4 : Entrega mais rapida!
5àsec Carrefour Pirituba;19/01/19 17:04;"Q2 : Atenção enorme do Sr. que estava atendendo...  Uma experiência de vida que valeu a pena a conversa que ele teve comigo! 
Não só o produto ou serviço importam e sim a experiência toda.  | Q4 : Quem sabe um serviço digital para cadastrar sua roupa e não precisar do papel que recebemos , que apagou dias depois..."
5àsec Panamby;19/01/19 16:45;Q2 : Excelente atendimento  e serviços
5àsec Shopping Penha;19/01/19 16:44;"Q2 : Tudo muito bom 
 | Q4 : Acho q poderia demorar menos na entrega"
5àsec Extra Raposo Tavares;19/01/19 15:59;Q2 : O atendimento é sempre bom. Atendente gentil, pontuais na entrega, cuidadosos com a roupa | Q4 : Se possível fazer entregas em menor tempo. O prazo de uma semana às vezes é um pouco longo.
5àsec Alphaville Posto Ipiranga;19/01/19 15:58;
5àsec Berrini;19/01/19 15:54;Q2 : Atendimento excelente e muito cordial sempre  | Q4 : Caramelos
5àsec Vila Romana;19/01/19 15:50;Q2 : Mandei lavar a camisa e meu terno para meu casamento e as funcionárias me trataram com um carinho e cuidado especial. Ficou uma grata lembrança!!!!! Todas foram muito atenciosas!!!! Obrigado. Se possível enviem meus mais sinceros agradecimentos.
5àsec Clodomiro Amazonas;19/01/19 15:36;Q2 : Entrega atrasada em um dia da escrita no site  | Q4 : Serviço delivery ser entregue no dia da coleta que aparece no site!
5àsec Shopping Boulevard Tatuapé;19/01/19 14:54;Q2 : Bom Atendimento. | Q4 : Não assim está bem, o atendimento ótimo e prazo respeitados.
5àsec Shopping Iguatemi;19/01/19 14:50;Q2 : AQq a a a a  | Q4 : qq
5àsec Votuporanga Padrao II;19/01/19 14:47;Q2 : Excelente atendimento  | Q4 : Mais promoções
5àsec Oscar Freire;19/01/19 14:40;Q2 : Bom atendimento, edredon impecável, ar condicionado não funcionante para oa funcionários e clientes | Q4 : Ar condicionado!!!!!
5àsec Jardim Marajoara;19/01/19 14:39;Q2 : . | Q4 : .
5àsec Paraiso;19/01/19 14:38;Q2 : Atendimento e serviços muito bons!
5àsec Butantã Shopping;19/01/19 14:35;Q4 : Mais Atenção e Presteza de informações no Atendimento.
5àsec Alfonso Bovero;19/01/19 14:32;Q2 : Atendido impecavrl
5àsec Loefgreen;19/01/19 14:30;
5àsec Oscar Freire;19/01/19 14:29;Q2 : Muito cara | Q4 : Os valores são muito alto poderiam ter um serviço de pacote. Não sabia os valores de cada peça só fui ver na entrega que eu paguei 48,00 para lavar um vestido simples. Não recomendo em função do valor
5àsec Freguesia Do O;19/01/19 14:27;Q2 : Descaso com as queixas do cliente. Embora tenha demonstrando o meu descontentamento com as lavagens anteriores, as falhas se repetiram. | Q4 : Não pretendo recorrer aos serviços no futuro
5àsec Mooca;19/01/19 14:27;Q2 : Falta de pessoas para atender, dificuldade no atendimento, mal humor dos atendentes | Q4 : Irei em outra loja.
5àsec Estados Unidos;19/01/19 14:21;Q2 : Péssimo atendimento  | Q4 : Atendimento e horário de atendimento
5àsec Wal Mart Pacaembu;19/01/19 14:20;Q2 : Serviço de excelente qualidade e ótimo atendimento | Q4 : Manter e realizar promoções kkkk
5àsec Bela Vista Consolacao;19/01/19 14:20;Q2 : Praticidade
5àsec Tremembe;19/01/19 14:18;Q2 : O bom serviço prestado | Q4 : As atendente foi ágil e está bem preparada para tirar dúvidas mas falta um pouco de simpatia.
5àsec Nestor Pestana;19/01/19 14:05;Q2 : Excelente serviço
5àsec Avenida Atlantica;19/01/19 12:11;Q2 : Ótimo serviço
5àsec Vila Guilherme;19/01/19 11:47;Q2 : Atendimento cordial com sorriso no rosto | Q4 : Pacotes especias para ternos
5àsec Shopping Center Norte;19/01/19 05:37;Q2 : Qualidade do serviço é excelente. Essa loja é diferenciada das outras. Trabalho impecável.  | Q4 : Criar um programa de fidelidade ou juntar pontos para obter descontos.
5àsec Aclimaçao;19/01/19 04:57;Q2 : Funcionários atenciosos!
5àsec Vila Guilherme;19/01/19 02:49;Q2 : Pelas atendentes e a qualidade
5àsec Jardim Marajoara;19/01/19 01:42;Q2 : Por ser uma empresa conhecida e por ter sido bem atendido na unidade da Rua Sócrates. | Q4 : Por enquanto estou satisfeito.
5àsec Shopping Penha;19/01/19 01:29;
5àsec Faria Lima;19/01/19 01:08;Q2 : O atendimento é muito bom, mas custa caro. | Q4 : Criar pacotes econômicos pra camisa social e terno.
5àsec Vila Carrão;18/01/19 23:26;Q4 : Melhorar os precos
5àsec Mergenthaler;18/01/19 23:20;Q2 : Sempre fui muito bem atendida pela Solange e nunca tive problemas. Neste fim de ano, no entanto, tive uma grande demanda de roupas para a lavanderia. Não sei se foi a época do ano ou problemas com equipe, mas houve bastante atraso na entrega das roupas e, principalmente, a perda de várias peças. Relatei o problema e estou aguardando uma solução. | Q4 : Melhorar serviço de entrega e conferência de roupas.
5àsec Jardim Marajoara;18/01/19 23:10;
5àsec Colinas Sao Francisco;18/01/19 22:29;Q2 : Atendimento e qualidade  | Q4 : Está tudo bem
5àsec Alameda Tiete;18/01/19 21:44;Q2 : Uma das peças não estava pronta conforme o combinado.
5àsec Vila Mariana;18/01/19 21:38;Q2 : Satisfação com a retirada da mancha de meu vestido !!!
5àsec Extra Raposo Tavares;18/01/19 21:19;Q2 : Fui muito bem  atendido.
5àsec Brooklin;18/01/19 20:52;Q4 : Fui bem atendida. Estou satisfeita.
5àsec Penha;18/01/19 20:50;
5àsec Carrefour Pirituba;18/01/19 20:14;"Q2 : Estão dando mancada, já ocorreram falhas na entrega dos produtos!
Não achavam uma camisa, e a atendente dizia q não tinha mais camisas para entregar, mas com minha insistência, e ela por sua vez mandando eu retornar no dia seguinte, disse q não iria retornar, pois tinha absoluta certeza da falta da mesma, mesmo o ""ticket""  em minhas mãos comprovando a falta!
Já muito preocupada com o sumiço da camisa, e ela mandando eu ir embora, resolveu procurar pelas marcas das camisas, ""eureka"", achou!!!! q bonitinho em identificação e sem passa-la, ( pelo menos estava lavada) q ótimo!
Não gostei do que houve, pois já é a segunda vez q essa atende, comete uns erros grotescos! 
E sem contar q novamente manda retornar no dia seguinte parta busca-la, pois estava muito ocupada para passa-la....kkkkkkk. 
Disse, não vou esperar você passar, mas não volto amanhã!
Fui  até o carro para deixar as demais, no retorno a camisa estava passada!
Só tenho a dizer lamentável!!!  | Q4 : Serem mais prestativos, não agindo de forma tão...... de qq jeito!! Trabalhem com foco na qualidade do atendimento, isto é um cartão de visita!!!"
5àsec Colinas Sao Francisco;18/01/19 20:13;"Q2 : Sou bem tratado e tenho opções. | Q4 : No caso de vocês, ""melhorar"", significa manter"" Se você permanecerem com esse nível de prestação de serviço, já está muito bom."
5àsec Mooca;18/01/19 20:09;
5àsec Shopping Center Norte;18/01/19 20:05;
5àsec Oscar Freire;18/01/19 20:05;
5àsec Aclimaçao;18/01/19 19:56;Q2 : Ótimo atendimento e qualidade da lavagem otima
5àsec Vila Nova Concei?Ao I;18/01/19 19:53;Q2 : Não lavaram bem a minha saia. A barra continuou suja  | Q4 : Avisar caso não consiga tirar as manchas
5àsec Jardim Marajoara;18/01/19 19:53;Q2 : O atendimento e  muito bom
5àsec Nestor Pestana;18/01/19 19:50;
5àsec Shopping Penha;18/01/19 19:49;Q2 : Serviços de qualidade
5àsec Butantã Shopping;18/01/19 19:47;Q2 : Ótimo
5àsec Cambuci;18/01/19 19:41;
5àsec Shopping Analia Franco;18/01/19 19:36;Q2 : Roupa muito amassada. | Q4 : Passar as peças de forma adequada.
5àsec Mooca;18/01/19 19:22;Q2 : pq o serviço prestado atende as minhas expectativas.  | Q4 : aumentar o desconto do pacote  para os clientes assíduos (fieis).
5àsec Teresina;18/01/19 19:19;
5àsec Campo Belo;18/01/19 19:05;Q2 : Só não recebe nota maior pois possui um preço mais alto. | Q4 : Melhorar os preços dos servicos.
5àsec Shopping Iguatemi;18/01/19 17:01;Q2 : Fui muito bem atendida pelas meninas! São atenciosas e se esforçam para fazer com excelência o trabalho como se fosse pra elas. Obrigada!
5àsec Shopping Penha;18/01/19 15:36;Q2 : A atendente é atenciosa e educada como deve ser | Q4 : Se a qualidade do serviço for mantida, não há nada a observar.
5àsec Interlagos Autodromo;18/01/19 15:35;Q2 : O Atendimento e a prestatividade
